part_number,difficulty,estimated_time_minutes,tools_required,video_url,pdf_url,chromadb_doc_id
PS18189330,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS18189330
PS18164818,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS18164818
PS18170902,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS18170902
PS18164921,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS18164921
PS18189314,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS18189314
PS18164847,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS18164847
PS18165395,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS18165395
PS11746830,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=TX3e5EwRBco,,install_PS11746830
PS11746857,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=kz_O87i4YcQ,,install_PS11746857
PS11746856,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=YPF4ckYRZRc,,install_PS11746856
PS11746834,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=la5sNGq4KYA,,install_PS11746834
PS11748543,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=bd2Zioh442Q,,install_PS11748543
PS2099645,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=k_DIMA9BMIU,,install_PS2099645
PS11747612,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11747612
PS11747611,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=YBGycM3g08M,,install_PS11747611
PS10058975,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS10058975
PS11747755,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11747755
PS11751688,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11751688
PS12394435,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=FUWBup3ZVQo,,install_PS12394435
PS2367638,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS2367638
PS4222532,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS4222532
PS12721288,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12721288
PS12085666,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12085666
PS12085689,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12085689
PS1960673,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS1960673
PS334310,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS334310
PS11742271,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=KYafjwm8ijk,,install_PS11742271
PS11741429,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=i_wzzcN2J9o,,install_PS11741429
PS11741913,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=bJ5TNlzHKhA,,install_PS11741913
PS12345661,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12345661
PS11741931,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=uYUdpJySHnU,,install_PS11741931
PS11741930,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=8AtOYoABVp0,,install_PS11741930
PS11757553,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=YckABtRXG4k,,install_PS11757553
PS1964648,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=apRejN1uTO8,,install_PS1964648
